Filename;Extension; Filesize;Aart;art;deflate;ggzrnorle;ggz;huffman;lz78;lz77;lzw;ppm5;ppm2;ppm3;ppm4;;OpenJ2K;kakadu;JPEGLS;Best
cameraman;.bmp;263222;232422;234285;188575;140769;184055;233618;203195;211852;192716;163299;136098;135328;146902;;91554;91530;;91530
cameraman;.ppm;786492;693124;694961;323198;199949;187273;696529;361490;365428;298802;180910;196609;193960;184160;;;91548;161180;91548
;;;;;;;;;;;;;;;;;;;;
house;.bmp;263222;190069;191926;148321;111239;132015;191152;155600;168253;140362;121460;102234;99066;107792;;63116;63096;;63096
house;.ppm;786492;565813;567642;253036;155559;136558;568868;277547;288711;201872;128716;150208;146998;136837;;;63114;116297;63114
;;;;;;;;;;;;;;;;;;;;
jetplane;.bmp;263222;221620;223471;208414;163439;221997;222702;219888;244302;207938;197792;151044;158045;174863;;127933;127903;;127903
jetplane;.ppm;786492;660283;662094;362048;237165;222894;663281;385553;427001;292300;196691;217464;211828;193675;;;127921;190156;127921
;;;;;;;;;;;;;;;;;;;;
lake;.bmp;263222;246701;248567;242331;194279;259825;247824;254225;276078;258124;251749;183924;196077;221014;;1654293;164271;;164271
lake;.ppm;786492;735853;737687;451046;276056;259886;739002;463946;531730;350038;242863;261204;256886;232958;;;164289;225842;164289
;;;;;;;;;;;;;;;;;;;;
lena_color_256;.bmp;196662;190232;192115;189459;155692;197269;191043;213432;214237;223932;227619;174740;181601;203482;;105882;105861;;105861
lena_color_256;.ppm;196668;190207;192088;189374;154121;195900;191014;213539;214132;221902;226632;172646;180483;202486;;;105861;102917;102917
;;;;;;;;;;;;;;;;;;;;
lena_color_512;.bmp;786486;762173;764024;755218;614664;783444;765231;801410;854364;893780;790044;689951;683448;761995;;445105;445074;;445074
lena_color_512;.ppm;786492;762138;763989;755258;611623;779917;765192;801018;854397;937524;792624;685491;683208;763062;;;445074;443449;443449
;;;;;;;;;;;;;;;;;;;;
lena_gray_256;.bmp;66614;62411;64307;62165;51069;67990;62709;73634;71627;73774;70307;50659;54880;62193;;40610;40586;;40586
lena_gray_256;.ppm;196668;183178;185031;118342;71047;67547;183760;139355;140529;100456;77686;69925;72514;71766;;;40604;56025;40604
;;;;;;;;;;;;;;;;;;;;
lena_gray_512;.bmp;263222;245548;247405;239698;179849;246199;246362;246335;273420;236840;232562;171412;180771;202624;;141074;141052;;141052
lena_gray_512;.ppm;786492;732179;733995;422570;259041;246958;734384;441728;508710;328562;221283;244854;238744;215872;;;141070;205302;141070
;;;;;;;;;;;;;;;;;;;;
livingroom;.bmp;263222;240482;242347;237229;190732;259278;241576;251402;275443;245762;246869;182120;192792;216184;;159626;159605;;159605
livingroom;.ppm;786492;717424;719263;431662;269570;259112;720489;452534;518889;389110;240398;258983;254314;232381;;;159623;220711;159623
;;;;;;;;;;;;;;;;;;;;
mandril_color;.bmp;786486;698970;700804;672619;510648;629403;701961;715475;804902;719462;595780;602119;471286;516373;;608774;608751;;471286
mandril_color;.ppm;786492;698957;700791;673080;515632;625271;701947;714521;803644;714586;592282;602127;472696;514765;;;608751;606161;472696
;;;;;;;;;;;;;;;;;;;;
mandril_gray;.bmp;263222;240568;242422;240121;194713;259921;241503;259308;283960;254576;262779;198121;204858;231089;;137670;137647;;137647
mandril_gray;.ppm;786492;717188;719003;461019;279205;263924;719775;477759;560645;360080;250291;278745;273792;246711;;;137665;231870;137665
;;;;;;;;;;;;;;;;;;;;
peppers_color;.bmp;263222;249893;251769;196026;124686;174210;250997;199766;215205;187750;148200;123050;118674;129227;;511977;511951;;118674
peppers_color;.ppm;786492;701373;703187;289023;180738;183525;704248;347588;332959;273654;139099;275429;136358;138105;;;511951;505875;136358
;;;;;;;;;;;;;;;;;;;;
peppers_gray;.bmp;263222;223386;225216;174222;120347;165546;224366;186878;204014;166474;136312;118931;111754;119864;;159348;159329;;111754
peppers_gray;.ppm;786492;665132;666898;264594;172181;165780;667813;320424;310919;240068;135843;167219;162404;152580;;;159347;218665;135843
;;;;;;;;;;;;;;;;;;;;
pirate;.bmp;263222;238780;240630;234876;188404;254596;239752;245970;273122;236700;239593;175995;186376;209697;;155338;155316;;155316
pirate;.ppm;786492;711719;713523;425247;267551;254497;714386;439172;514114;323264;227494;248078;242848;220749;;;155334;215596;155334
;;;;;;;;;;;;;;;;;;;;
walkbridge;.bmp;263222;253181;255057;252189;211472;282309;254214;270843;287198;280024;281088;205018;219569;248820;;184069;184046;;184046
walkbridge;.ppm;786492;755530;757380;495332;295812;281863;758404;500354;583103;398216;279929;283463;283909;267027;;;184064;246415;184064
;;;;;;;;;;;;;;;;;;;;
woman_blonde;.bmp;263222;229379;231225;225501;185598;251627;230521;240689;271184;230292;234259;173266;182759;204320;;158642;158623;;158623
woman_blonde;.ppm;786492;683950;685750;409250;264576;251346;687086;425681;498904;313970;221857;246758;239821;215773;;;158641;220817;158641
;;;;;;;;;;;;;;;;;;;;
woman_darkhair;.bmp;263222;239990;241853;222760;147318;203131;240927;216636;246759;199192;181724;134870;141486;157780;;111833;111804;;111804
woman_darkhair;.ppm;786492;715629;717453;361800;218040;204350;718196;380261;422730;278922;173074;198564;191699;173340;;;111822;117961;111822
